symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
SHOP,2022-08-15,2022-08-15,39.86,38.71,40.68,741,,,2022-08-16,38.69,stop,1,-1.02,-868.32,unr_pdl,8.45,1.19,0.08,exact
CRSP,2022-08-15,2022-08-15,80.18,76.83,80.91,3,,,2022-08-16,76.79,stop,1,-1.01,-10.17,unr_ema8,6.09,1.24,0.32,exact
GME,2022-08-15,2022-08-15,39.7,38.68,40.41,2,,,2022-08-16,38.66,stop,1,-1.02,-2.08,unr_pdl,7.18,2.66,0.2,exact
MSTR,2022-07-27,2022-07-27,26.25,24.02,27.29,10,,,2022-08-17,32.5,trail_ema,15,2.8,62.51,unr_ema8,9.8,1.18,0.35,exact
DDOG,2022-08-09,2022-08-09,109.81,107.16,112.58,382,,,2022-08-17,109.96,trail_ema,6,0.06,57.34,unr_ema8,6.94,4.43,0.24,exact
SNOW,2022-08-16,2022-08-16,167.43,158.27,179.95,117,,,2022-08-17,158.19,stop,1,-1.01,-1081.16,unr_pdl,6.26,1.6,0.08,exact
RUN,2022-08-16,2022-08-16,35.11,34.02,37.76,992,,,2022-08-17,34.01,stop,1,-1.02,-1091.37,unr_pdl,7.84,2.64,0.02,exact
DDOG,2022-08-17,2022-08-17,110.08,107.98,112.58,497,,,2022-08-18,109.4,trail_ema,1,-0.33,-337.83,unr_pdl,6.06,1.9,0.07,exact
SNOW,2022-08-17,2022-08-17,161.37,156.61,161.3,218,,,2022-08-18,161.67,trail_ema,1,0.06,65.07,unr_pdl,6.17,1.2,0.28,exact
MSTR,2022-08-18,2022-08-18,32.45,31.74,36.2,1443,,,2022-08-19,29.93,stop_gap,1,-3.52,-3646.74,unr_pdl,7.35,15.05,0.2,exact
SNOW,2022-08-18,2022-08-18,161.83,159.05,161.3,347,,,2022-08-19,158.97,stop,1,-1.03,-993.86,unr_ema21,6.05,2.56,0.23,exact
RIVN,2022-08-18,2022-08-18,35.92,34.91,40.56,19,,,2022-08-19,34.89,stop,1,-1.02,-19.5,unr_ema21,5.82,7.27,0.15,exact
PLUG,2022-08-22,2022-08-22,26.39,25.39,31.11,987,,,2022-08-23,26.11,trail_ema,1,-0.29,-282.53,unr_pdl,6.64,5.43,0.06,exact
TOST,2022-08-22,2022-08-22,18.18,17.58,21.76,1643,,,2022-08-23,18.43,trail_ema,1,0.42,413.54,unr_pdl,6.91,9.63,0.17,exact
