symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
UPST,2021-10-25,2021-10-25,359.99,344.46,401.49,101,,,2021-10-26,344.29,stop,1,-1.01,-1585.72,unr_ema8,6.43,4.55,0.24,exact
APP,2021-10-06,2021-10-06,77.04,72.28,77.03,300,,,2021-10-27,94.87,time_stop,15,3.75,5350.21,unr_ema8,5.88,1.13,0.59,exact
MARA,2021-10-13,2021-10-13,43.81,39.43,44.97,310,,,2021-10-27,50.01,trail_ema,10,1.42,1922.96,unr_pdl,6.8,26.8,1.74,exact
HUT,2021-10-25,2021-10-25,65.28,57.01,65.95,189,,,2021-10-27,60.12,trail_ema,2,-0.62,-975.75,unr_ema8,9.36,3.67,1.33,exact
CELH,2021-10-25,2021-10-25,33.34,31.34,33.05,2,,,2021-10-27,31.82,trail_ema,2,-0.76,-3.03,unr_ema8,5.69,2.85,0.89,exact
AFRM,2021-10-28,2021-10-28,161.97,152.71,160.69,170,,,2021-11-01,152.64,stop,2,-1.01,-1586.66,unr_ema8,8.19,4.69,0.71,exact
PLUG,2021-10-22,2021-10-22,32.72,31.88,34.0,1812,,,2021-11-05,38.35,trail_ema,10,6.73,10209.65,unr_ema8,5.72,8.51,0.37,exact
RUN,2021-11-04,2021-11-04,57.78,55.92,59.87,1,,,2021-11-05,55.89,stop,1,-1.02,-1.89,unr_ema8,5.48,5.57,0.44,exact
CELH,2021-10-28,2021-10-28,32.6,31.45,33.05,1008,,,2021-11-09,33.82,trail_ema,8,1.06,1233.24,unr_pdl,5.81,3.19,0.42,exact
GME,2021-11-01,2021-11-01,50.05,45.39,48.04,358,,,2021-11-09,51.62,trail_ema,6,0.34,564.45,unr_ema8,5.36,3.08,1.69,exact
AFRM,2021-11-02,2021-11-02,155.97,148.08,160.69,51,,,2021-11-09,157.71,trail_ema,5,0.22,88.9,unr_pdl,8.1,3.67,0.46,exact
XPEV,2021-11-08,2021-11-08,47.13,44.94,49.49,463,,,2021-11-09,44.92,stop,1,-1.01,-1026.6,unr_pdl,5.11,4.54,0.61,exact
NET,2021-10-28,2021-10-28,184.14,174.31,192.08,160,,,2021-11-10,195.26,trail_ema,9,1.13,1779.25,unr_pdl,5.59,3.68,0.7,exact
MARA,2021-10-29,2021-10-29,52.27,49.63,56.48,6,,,2021-11-10,64.81,trail_ema,8,4.76,75.25,unr_pdl,7.66,30.17,0.7,exact
PLUG,2021-11-09,2021-11-09,40.74,38.83,42.95,903,,,2021-11-10,38.72,stop_gap,1,-1.06,-1823.82,unr_pdl,6.13,3.26,0.43,exact
TSLA,2021-11-10,2021-11-10,356.16,328.24,414.5,59,,,2021-11-11,354.33,trail_ema,1,-0.07,-108.28,unr_pdl,5.1,8.65,1.09,exact
CLSK,2021-11-11,2021-11-11,21.48,20.25,23.6,1405,,,2021-11-15,20.68,trail_ema,2,-0.65,-1125.51,unr_ema8,8.2,3.45,0.3,exact
